caller,receiver,timestamp,duration,calltype
+919811012345,+919811098765,2026-03-10T10:15:00Z,340,VOICE
+919811012345,+919822054321,2026-03-10T11:45:00Z,180,VOICE
+919811098765,+919833077777,2026-03-10T14:20:00Z,420,VOICE
+919822054321,+919811012345,2026-03-11T09:10:00Z,90,VOICE
+919811012345,+919811098765,2026-03-14T21:05:00Z,600,VOICE
+919811012345,+919811098765,2026-03-14T21:25:00Z,480,VOICE
+919811012345,+919811098765,2026-03-14T22:10:00Z,720,VOICE
+919811012345,+919811098765,2026-03-14T23:00:00Z,310,VOICE
+919822054321,+919844088888,2026-03-15T10:30:00Z,210,VOICE
+919833077777,+919844088888,2026-03-15T12:00:00Z,150,VOICE
+919855011111,+919811012345,2026-03-16T16:45:00Z,195,VOICE
+919855011111,+919866022222,2026-03-16T18:15:00Z,540,VOICE
